type,underlying0,underlying,underlying1,YFcode,YFname
CTY,Precious Metals,Gold,XAU,GC=F,
CTY,Precious Metals,Silver,XAG,SI=F,
CTY,Precious Metals,Palladium,XPD,PL=F,
CTY,Precious Metals,Platinum,XPT,PA=F,
CTY,Base Metals,Copper,CU,HG=F,
CTY,Base Metals,Aluminium,AL,ALI=F,
CTY,Base Metals,Nickel,NI,,
CTY,Base Metals,Zinc,ZN,ZN=F,
CTY,Base Metals,Lead,PB,,
CTY,Base Metals,Iron Ore,,,
CTY,Base Metals,Tin,TN,TN=F,
CTY,Energy,Brent Crude,Brent,CL=F,
CTY,Energy,West texas Intermediate,WTI,WTI,
CTY,Energy,Natural Gas,NG,NG=F,
CTY,Energy,Gasoline,Gasoline,RB=F,RBOB Gasoline
CTY,Energy,Ethanol,Ethanol,EH=F,Ethanol Futures
CTY,Energy,Uranium,Uranium,,UxC Uranium U3O8 Futures
CTY,Energy,Propane,,,
CTY,Energy,Heating Oil,,,
CTY,Agricultural,Soybeans,Soybeans,S=F,
CTY,Agricultural,Wheat,Wheat,W=F,
CTY,Agricultural,Sugar,Sugar,SB=F,
CTY,Agricultural,Cocoa,Cocoa,CC=F,
CTY,Agricultural,Coffee,Coffee,KC=F,
CTY,Agricultural,Corn,Corn,C=F,
CTY,Agricultural,Orange Juice,,,
CTY,Agricultural,Rice,Rice,RR=F,Rough Rice
CTY,Agricultural,Palm Oil,,,
CTY,Agricultural,Wool,,,
CTY,Agricultural,Tea,,,
CTY,Agricultural,Cotton,Cotton,CT=F,
CTY,Livestock,Lean Hogs,Lean Hogs,LH=F,
CTY,Livestock,Beef,,,
CTY,Livestock,Live Cattle,Live Cattle,LC=F,
FX,Forex,Euro/US_Dollar,EUR#USD,EURUSD=X,
FX,Forex,Euro/Canadian_Dollar,EUR#CAD,EURCAD=X,
FX,Forex,Euro/British_Pound,EUR#GBP,EURGBP=X,
FX,Forex,Euro/Japanese_Yen,EUR#JPY,EURJPY=X,
FX,Forex,Euro/Chinese_Yuan,EUR#CNY,EURCNY=X,
FX,Forex,Euro/Swiss_Franc,EUR#CHF,EURCHF=X,
FX,Forex,US_Dollar/Euro,USD#EUR,USDEUR=X,
FX,Forex,US_Dollar/Canadian_Dollar,USD#CAD,USDCAD=X,
FX,Forex,US_Dollar/British_Pound,USD#GBP,USDGBP=X,
FX,Forex,US_Dollar/Japanese_Yen,USD#JPY,USDJPY=X,
FX,Forex,US_Dollar/Chinese_Yuan,USD#CNY,USDCNY=X,
FX,Forex,US_Dollar/Swiss_Franc,USD#CHF,USDCHF=X,
EQD,EquityMarket,DowJones 30,DJI,^DJI,
EQD,EquityMarket,S&P 500,SNP 500,^GSPC,
EQD,EquityMarket,Nasdaq,Nasdaq,^IXIC,
EQD,EquityMarket,Russell 2000,Russell 2000,^RUT,Chicago Options - Chicago Options Delayed Price.
EQD,EquityMarket,Footsie 100,FTSE,,
EQD,EquityMarket,Nikkei 225,Nikkei 225,^N225,Osaka - Osaka Delayed Price.
EQD,EquityMarket,CAC 40,CAC 40,^FCHI,
EQD,EquityIndex,Apple,AAPL,AAPL,
EQD,EquityIndex,Microsoft,MSFT,MSFT,
EQD,EquityIndex,Tesla,TSLA,TSLA,
EQD,EquityIndex,Facebook,FB,FB,
EQD,EquityIndex,Amazon,AMZN,AMZN,
EQD,EquityIndex,JPMorgan Chase & Co,JPM,JPM,
EQD,EquityIndex,Morgan Stanley,MS,MS,
EQD,EquityIndex,Citigroup,C,C,
EQD,EquityIndex,HSBC,HSBC,HSBC,
EQD,EquityIndex,BNP Paribas SA,BNP,BNP.PA,
EQD,EquityIndex,Societe Generale,SG,GLE.PA,
EQD,EquityIndex,Starbucks,SBUX,SBUX,
EQD,EquityIndex,Japan Airlines,JAL,JAPSY,
EQD,EquityIndex,Total,TOT,TOT,
EQD,EquityIndex,Walmart,WMT,WMT,
EQD,EquityIndex,Alibaba,BABA,BABA,
EQD,EquityIndex,Bank of America,BAC,BAC,
EQD,EquityIndex,Netflix,NFLX,NFLX,
INDEX,Index,Vix,VIX,^VIX,Chicago Options - Chicago Options Delayed Pric
